"phonecode","country_iso","country_name","state_or_province_iso","state_or_province_name"
"812","US","United States","IN","Indiana"
"813","US","United States","FL","Florida"
"814","US","United States","PA","Pennsylvania"
"815","US","United States","IL","Illinois"
"816","US","United States","MO","Missouri"
"817","US","United States","TX","Texas"
"818","US","United States","CA","California"
"819","CA","Canada","QC","Quebec"
"820","US","United States","CA","California"
"828","US","United States","NC","North Carolina"
"825","CA","Canada","AB","Alberta"
"830","US","United States","TX","Texas"
"831","US","United States","CA","California"
"832","US","United States","TX","Texas"
"837","US","United States","CA","California"
"839","US","United States","SC","South Carolina"
"840","US","United States","CA","California"
"843","US","United States","SC","South Carolina"
"845","US","United States","NY","New York"
"847","US","United States","IL","Illinois"
"848","US","United States","NJ","New Jersey"
"850","US","United States","FL","Florida"
"856","US","United States","NJ","New Jersey"
"857","US","United States","MA","Massachusetts"
"858","US","United States","CA","California"
"859","US","United States","KY","Kentucky"
"860","US","United States","CT","Connecticut"
"862","US","United States","NJ","New Jersey"
"863","US","United States","FL","Florida"
"864","US","United States","SC","South Carolina"
"865","US","United States","TN","Tennessee"
"867","CA","Canada","YT","Yukon"
"868","TT","Trinidad and Tobago","",""
"869","KN","Saint Kitts and Nevis","",""
"870","US","United States","AR","Arkansas"
"872","US","United States","IL","Illinois"
"876","JM","Jamaica","",""
"878","US","United States","PA","Pennsylvania"
"901","US","United States","TN","Tennessee"
"902","CA","Canada","PE","Prince Edward Island"
"903","US","United States","TX","Texas"
"904","US","United States","FL","Florida"
"905","CA","Canada","ON","Ontario"
"906","US","United States","MI","Michigan"
"907","US","United States","AK","Alaska"
"908","US","United States","NJ","New Jersey"
"909","US","United States","CA","California"
"910","US","United States","NC","North Carolina"
"912","US","United States","GA","Georgia"
"913","US","United States","KS","Kansas"
"914","US","United States","NY","New York"
"915","US","United States","TX","Texas"
"916","US","United States","CA","California"
"917","US","United States","NY","New York"
"918","US","United States","OK","Oklahoma"
"919","US","United States","NC","North Carolina"
"920","US","United States","WI","Wisconsin"
"925","US","United States","CA","California"
"928","US","United States","AZ","Arizona"
"929","US","United States","NY","New York"
"931","US","United States","TN","Tennessee"
"934","US","United States","NY","New York"
"936","US","United States","TX","Texas"
"937","US","United States","OH","Ohio"
"939","US","United States","PR","Puerto Rico"
"940","US","United States","TX","Texas"
"941","US","United States","FL","Florida"
"942","CA","Canada","ON","Ontario"
"945","US","United States","TX","Texas"
"947","US","United States","MI","Michigan"
"949","US","United States","CA","California"
"951","US","United States","CA","California"
"952","US","United States","MN","Minnesota"
"954","US","United States","FL","Florida"
"956","US","United States","TX","Texas"
"959","US","United States","CT","Connecticut"
"970","US","United States","CO","Colorado"
"971","US","United States","OR","Oregon"
"972","US","United States","TX","Texas"
"973","US","United States","NJ","New Jersey"
"978","US","United States","MA","Massachusetts"
"979","US","United States","TX","Texas"
"980","US","United States","NC","North Carolina"
"984","US","United States","NC","North Carolina"
"985","US","United States","LA","Louisiana"
"986","US","United States","ID","Idaho"
"989","US","United States","MI","Michigan"
